forecast_hour,hour,valid_local,valid_utc,temperature_f,dewpoint_f,wind,wind_direction,wind_direction_deg,wind_speed_mph,precip_next_hour_inches,pop_next_hour_pct,low_cloud_pct,mid_cloud_pct,high_cloud_pct
2,3 AM,2026-08-11T03:00:00-05:00,2026-08-11T08:00:00+00:00,70.4,63.8,E 3,E,90.0,3.1,0.0,9.0,0.0,55.0,57.0
3,4 AM,2026-08-11T04:00:00-05:00,2026-08-11T09:00:00+00:00,69.2,63.8,E 3,E,110.0,3.1,0.0,10.0,0.0,91.0,90.0
4,5 AM,2026-08-11T05:00:00-05:00,2026-08-11T10:00:00+00:00,68.1,63.6,E 3,E,100.0,2.9,0.0,13.0,0.0,77.0,98.0
5,6 AM,2026-08-11T06:00:00-05:00,2026-08-11T11:00:00+00:00,67.4,63.6,E 3,E,100.0,2.7,0.05,41.0,0.0,95.0,79.0
6,7 AM,2026-08-11T07:00:00-05:00,2026-08-11T12:00:00+00:00,67.4,64.1,E 3,E,80.0,2.9,0.01,15.0,0.0,70.0,0.0
7,8 AM,2026-08-11T08:00:00-05:00,2026-08-11T13:00:00+00:00,69.5,64.8,NE 3,NE,50.0,2.9,0.02,12.0,0.0,45.0,50.0
8,9 AM,2026-08-11T09:00:00-05:00,2026-08-11T14:00:00+00:00,72.0,65.4,NE 3,NE,50.0,2.9,0.0,5.0,0.0,34.0,24.0
9,10 AM,2026-08-11T10:00:00-05:00,2026-08-11T15:00:00+00:00,74.8,65.9,NE 3,NE,60.0,3.4,0.0,3.0,30.0,23.0,68.0
10,11 AM,2026-08-11T11:00:00-05:00,2026-08-11T16:00:00+00:00,77.8,66.5,NE 4,NE,50.0,3.8,0.0,1.0,68.0,0.0,55.0
11,12 PM,2026-08-11T12:00:00-05:00,2026-08-11T17:00:00+00:00,80.2,66.7,NE 4,NE,50.0,3.6,0.04,50.0,77.0,0.0,0.0
12,1 PM,2026-08-11T13:00:00-05:00,2026-08-11T18:00:00+00:00,82.0,66.3,NE 4,NE,50.0,3.8,0.0,0.0,52.0,0.0,0.0
13,2 PM,2026-08-11T14:00:00-05:00,2026-08-11T19:00:00+00:00,83.6,66.5,NE 4,NE,60.0,3.8,0.0,0.0,0.0,0.0,0.0
14,3 PM,2026-08-11T15:00:00-05:00,2026-08-11T20:00:00+00:00,84.8,66.5,NE 4,NE,60.0,4.0,0.0,0.0,14.0,0.0,0.0
15,4 PM,2026-08-11T16:00:00-05:00,2026-08-11T21:00:00+00:00,85.7,65.9,NE 4,NE,60.0,3.8,0.0,1.0,31.0,0.0,0.0
16,5 PM,2026-08-11T17:00:00-05:00,2026-08-11T22:00:00+00:00,85.9,66.1,NE 4,NE,30.0,4.3,0.0,3.0,17.0,0.0,0.0
17,6 PM,2026-08-11T18:00:00-05:00,2026-08-11T23:00:00+00:00,85.0,66.1,N 4,N,340.0,4.3,0.0,36.0,0.0,0.0,0.0
18,7 PM,2026-08-11T19:00:00-05:00,2026-08-12T00:00:00+00:00,83.8,67.2,W 5,W,280.0,4.7,0.0,1.0,16.0,0.0,0.0
